Hex Code             RGB Code

#3182bd               (49, 130, 189)

#6baed6              (107, 174, 214)

#9ecae1               (158, 202, 225)

#c6dbef               (198, 219, 239)

#e6550d               (230, 85, 13)

#fd8d3c                (253, 141, 60)

#fdae6b               (253, 174, 107)

#fdd0a2               (253, 208, 162)

#31a354               (49, 163, 84)

#74c476                (116, 196, 118)

#000000               (0, 0, 0)

#595959               (89, 89, 89)

#F2F2F2               (242, 242, 242)
